q_id,u_id,timestamp
4106884,0,2012-06-18T00:00:05
4057275,0,2012-06-18T00:00:25
6337114,0,2012-06-18T00:00:31
10297435,0,2012-06-18T00:00:41
10297436,0,2012-06-18T00:00:45
10297437,0,2012-06-18T00:00:45
10297435,0,2012-06-18T00:00:50
10297438,0,2012-06-18T00:00:59
10297439,0,2012-06-18T00:01:02
3721542,0,2012-06-18T00:01:43
10297440,0,2012-06-18T00:02:22
3721542,0,2012-06-18T00:02:22
3721542,0,2012-06-18T00:02:23
10297441,0,2012-06-18T00:02:29
10297442,0,2012-06-18T00:03:10
3721542,0,2012-06-18T00:03:37
10297443,58328525,2012-06-18T00:03:46
10297438,0,2012-06-18T00:03:53
10297441,0,2012-06-18T00:04:14
4174376,0,2012-06-18T00:04:19
10297444,0,2012-06-18T00:04:21
10297445,58328525,2012-06-18T00:04:32
4174376,0,2012-06-18T00:04:41
10297446,0,2012-06-18T00:05:02
9494731,0,2012-06-18T00:05:02
4174376,0,2012-06-18T00:05:06
4106884,0,2012-06-18T00:05:07
10297447,0,2012-06-18T00:05:19
10297447,0,2012-06-18T00:05:20
10297447,0,2012-06-18T00:05:20
10297448,0,2012-06-18T00:05:43
10297447,0,2012-06-18T00:06:11
4057275,0,2012-06-18T00:06:14
10275595,0,2012-06-18T00:06:37
9877714,0,2012-06-18T00:06:41
3721481,0,2012-06-18T00:07:14
3721481,0,2012-06-18T00:07:50
4055069,0,2012-06-18T00:08:16
3721481,0,2012-06-18T00:08:30
3721542,0,2012-06-18T00:08:52
10297449,0,2012-06-18T00:08:56
9501781,0,2012-06-18T00:09:28
7209383,0,2012-06-18T00:09:28
10297450,0,2012-06-18T00:09:28
3961337,0,2012-06-18T00:09:28
10297451,0,2012-06-18T00:09:37
8697828,0,2012-06-18T00:09:41
10297452,0,2012-06-18T00:09:47
9800922,0,2012-06-18T00:09:54
4106884,0,2012-06-18T00:10:04
8974673,0,2012-06-18T00:10:04
10297453,0,2012-06-18T00:10:16
10297448,0,2012-06-18T00:10:17
10297454,0,2012-06-18T00:10:26
10297435,0,2012-06-18T00:10:46
10297436,0,2012-06-18T00:10:48
10297437,0,2012-06-18T00:10:50
10297435,0,2012-06-18T00:10:53
10297455,0,2012-06-18T00:10:56
10297456,0,2012-06-18T00:11:06
5240405,0,2012-06-18T00:11:36
10297447,0,2012-06-18T00:11:57
10297447,0,2012-06-18T00:12:00
10297447,0,2012-06-18T00:12:00
4055069,0,2012-06-18T00:12:12
4055069,0,2012-06-18T00:12:17
10297457,0,2012-06-18T00:12:26
4055069,0,2012-06-18T00:12:31
10297458,0,2012-06-18T00:12:46
10297459,0,2012-06-18T00:12:56
10297460,0,2012-06-18T00:13:07
10297461,0,2012-06-18T00:13:12
