q_id,u_id,timestamp
4106884,0,2012-07-30T00:00:05
10428276,0,2012-07-30T00:00:21
9505445,0,2012-07-30T00:00:30
10428277,0,2012-07-30T00:00:35
10428278,0,2012-07-30T00:00:41
10428279,0,2012-07-30T00:01:00
10194628,0,2012-07-30T00:01:00
9501486,0,2012-07-30T00:01:15
3721542,0,2012-07-30T00:01:28
10427181,0,2012-07-30T00:01:30
10419992,0,2012-07-30T00:02:43
3692111,0,2012-07-30T00:03:11
10428278,0,2012-07-30T00:03:14
10428278,0,2012-07-30T00:03:15
10428278,0,2012-07-30T00:03:16
10428280,0,2012-07-30T00:03:45
10428281,0,2012-07-30T00:04:17
9583924,0,2012-07-30T00:04:20
9583925,0,2012-07-30T00:04:21
4321934,58342611,2012-07-30T00:04:33
7217402,0,2012-07-30T00:04:49
3721542,0,2012-07-30T00:04:55
9583624,0,2012-07-30T00:05:01
10428202,49429490,2012-07-30T00:05:01
9583623,0,2012-07-30T00:05:03
4106884,0,2012-07-30T00:05:03
10428282,49429490,2012-07-30T00:05:12
7217402,0,2012-07-30T00:05:37
3721481,0,2012-07-30T00:05:38
9584071,0,2012-07-30T00:05:48
9589780,0,2012-07-30T00:05:48
9583912,0,2012-07-30T00:06:10
9583910,0,2012-07-30T00:06:10
10428283,0,2012-07-30T00:06:32
10428278,0,2012-07-30T00:06:48
9584074,0,2012-07-30T00:06:55
9583624,0,2012-07-30T00:07:43
9583623,0,2012-07-30T00:07:44
10428278,0,2012-07-30T00:08:08
10428278,0,2012-07-30T00:08:11
10428278,0,2012-07-30T00:08:11
4057275,0,2012-07-30T00:08:15
9346100,0,2012-07-30T00:08:19
3721481,0,2012-07-30T00:08:28
10426972,0,2012-07-30T00:08:46
9583931,0,2012-07-30T00:08:48
3914789,0,2012-07-30T00:08:53
9583930,0,2012-07-30T00:08:57
10428284,0,2012-07-30T00:08:58
4007051,0,2012-07-30T00:09:05
4007053,0,2012-07-30T00:09:15
10426974,0,2012-07-30T00:09:23
3122381,0,2012-07-30T00:09:51
9346100,0,2012-07-30T00:09:51
10428282,49429490,2012-07-30T00:09:52
10428285,0,2012-07-30T00:09:52
10428202,49429490,2012-07-30T00:09:52
10428282,49429490,2012-07-30T00:09:57
10428278,0,2012-07-30T00:10:01
10428286,0,2012-07-30T00:10:07
4106884,0,2012-07-30T00:10:08
10428287,0,2012-07-30T00:10:16
10402051,0,2012-07-30T00:10:21
10428288,0,2012-07-30T00:10:26
9583930,0,2012-07-30T00:10:39
10428289,0,2012-07-30T00:10:40
9583931,0,2012-07-30T00:10:44
10428290,0,2012-07-30T00:10:49
10428291,0,2012-07-30T00:10:59
10428292,0,2012-07-30T00:11:06
10428293,0,2012-07-30T00:11:09
10428294,0,2012-07-30T00:11:17
3721542,0,2012-07-30T00:11:24
3122381,0,2012-07-30T00:11:29
9583934,0,2012-07-30T00:11:31
9583935,0,2012-07-30T00:11:31
3057898,0,2012-07-30T00:11:35
10372226,0,2012-07-30T00:11:38
10428295,58348626,2012-07-30T00:11:42
3061649,0,2012-07-30T00:11:43
3298789,0,2012-07-30T00:11:52
3749943,0,2012-07-30T00:12:00
9475597,58348626,2012-07-30T00:12:01
9346100,0,2012-07-30T00:12:09
3914846,0,2012-07-30T00:12:13
9565689,0,2012-07-30T00:12:16
9584083,0,2012-07-30T00:12:17
9584082,0,2012-07-30T00:12:17
3914858,0,2012-07-30T00:12:22
3914868,0,2012-07-30T00:12:34
3914884,0,2012-07-30T00:12:48
9334878,0,2012-07-30T00:12:48
9346100,0,2012-07-30T00:12:55
3914887,0,2012-07-30T00:12:58
10428278,0,2012-07-30T00:13:02
10428278,0,2012-07-30T00:13:07
10428278,0,2012-07-30T00:13:07
9583943,0,2012-07-30T00:13:11
9583942,0,2012-07-30T00:13:11
3914898,0,2012-07-30T00:13:11
5077185,0,2012-07-30T00:13:14
3721542,0,2012-07-30T00:13:21
6603824,0,2012-07-30T00:13:22
3931546,0,2012-07-30T00:13:22
9346100,0,2012-07-30T00:13:24
5056578,0,2012-07-30T00:13:28
3931548,0,2012-07-30T00:13:34
6604126,0,2012-07-30T00:13:49
9583626,0,2012-07-30T00:13:58
9583625,0,2012-07-30T00:13:59
3692113,0,2012-07-30T00:14:16
9583624,0,2012-07-30T00:14:47
9583623,0,2012-07-30T00:14:48
3790484,0,2012-07-30T00:14:51
10349967,0,2012-07-30T00:14:54
10349967,0,2012-07-30T00:14:56
5841579,0,2012-07-30T00:14:56
3931548,0,2012-07-30T00:14:59
4106884,0,2012-07-30T00:15:03
